"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13"
"1","nutzer","vereine","fã¼","regeln","cloud","jahr","verarbeitung","facebook","prozent","facebook","fã¼","apple","nutzer"
"2","whatsapp","thema","kã","gespeichert","kunden","jahren","kunden","usa","verordnung","zuckerberg","prozent","fã¼","fã¼"
"3","mail","datenschutzbeauftragten","¼ber","fã¼","security","euro","beispiel","zuckerberg","firmen","fã¼","¼ber","iphone","personenbezogenen"
"4","facebook","verein","europã","facebook","data","online","recht","europa","künftig","nutzer","kã","gerã","google"
"5","kunden","verordnung","dafã¼","vermieter","sicherheit","gut","betroffenen","nutzer","euro","europa","deutschland","milliarden","verarbeitung"
"6","einwilligung","uhr","persã","verbraucher","management","ende","personenbezogene","regeln","umsetzung","fragen","grundverordnung","kã","art"
"7","mails","mitglieder","verordnung","beispiel","anbieter","geht","personenbezogenen","fragen","regeln","beschwerden","facebook","dollar","abs"
"8","informationen","vereinen","wã","adresse","prozent","zeit","art","menschen","millionen","chef","berg","konzern","kã"
"9","app","ihk","verstã","recht","services","heute","verarbeitet","nutzern","vier","regeln","gut","nutzer","gespeichert"
"10","anbieter","freitag","erklã","¼ber","software","kommt","personen","google","strafen","verbraucher","umsetzung","bereits","lit"
"11","verbraucher","sieht","behã","zweck","lösungen","deutschland","personenbezogener","welt","erst","mark","tten","millionen","facebook"
"12","nutzung","zwei","ren","schutz","systeme","mal","einwilligung","chef","recht","europã","wenig","euro","rechtsgrundlage"
"13","beispielsweise","mitarbeiter","auã","eigentümer","beispielsweise","zwei","mitarbeiter","trump","bußgelder","kã","umfrage","ios","nutzers"
"14","zustimmung","umgang","buã","organisationen","compliance","internet","datenverarbeitung","mark","behörden","verordnung","russland","iphones","cookies"
"15","adresse","kraft","dã¼rfen","mieter","nutzen","großen","bereits","cambridge","könnten","zustimmung","verbraucher","jahr","adresse"
"16","beispiel","deshalb","ischen","angaben","iot","macht","informationen","millionen","verstößen","freitag","bitkom","telegram","¼ber"
"17","per","april","nã","bekommen","einwilligung","millionen","regelungen","analytica","seien","seien","chst","rund","website"
"18","seite","euro","kã¼nftig","vereine","anforderungen","gerade","vorgaben","deutschland","drohen","vereine","demnach","google","rung"
"19","lassen","sicher","facebook","millionen","informationen","digitalen","datenschutzbeauftragten","parlament","kraft","erste","aufsichtsbehã","homepod","privacy"
"20","nutzen","vergangenen","verã","kommt","service","sogar","anforderungen","europäischen","umfrage","facebooks","gespeichert","vergangenen","speicherung"
"21","website","seien","heiã","speichern","banken","ersten","bdsg","weltweit","grundverordnung","cambridge","informationen","prozent","browser"
"22","google","datenschutzbeauftragte","glich","google","anwendungen","erst","kundendaten","albrecht","laut","verein","befragten","quartal","twitter"
"23","betreiber","informationen","ische","verstã","bereits","weniger","insbesondere","unsere","erfüllen","dienste","israels","markt","newsletter"
"24","online","homepage","bereits","kã¼nftig","einsatz","menschen","maßnahmen","jahren","wirtschaft","analytica","netanjahu","xiaomi","nutzung"
"25","darf","stadt","fã","kunden","bereich","bereits","rahmen","politiker","stichtag","¼ber","verstã","laut","online"
"26","firmen","grundverordnung","rung","dienste","business","drei","umsetzung","china","vorgaben","strafen","europa","bloomberg","webseite"
"27","recht","bereich","nnte","europaparlament","cyber","markt","gesetz","deutsche","gesetze","inkrafttreten","recht","betriebssystem","datenschutzerklã"
"28","dienst","unsere","gehã","kã","thema","google","person","frage","europäische","weltweiten","vier","¼ber","tagesspiegel"
"29","werbung","wegen","darã¼ber","betroffen","deshalb","gar","verordnung","brüssel","bitkom","google","ursache","kunden","mail"
"30","internet","sehen","xferdem","informationen","digitalisierung","frage","europäischen","lange","experten","schrems","gehen","bã","link"
"31","denen","schulen","kraft","verarbeitet","lösung","marketing","datenschutzrecht","seien","eigenen","whatsapp","leben","nã","einwilligung"
"32","antwort","mitgliedern","regeln","strafen","big","eigenen","grundverordnung","zwei","bereits","brã¼ssel","bekommen","technologie","plugins"
"33","gespeichert","fragen","bã¼rger","besonders","bank","firmen","rechte","sozialen","bürger","millionen","sident","erwartet","erforderlich"
"34","fotos","beispielsweise","jahren","kontrolle","beispiel","kunden","zeit","konzern","bislang","barley","lfte","samsung","informationen"
"35","adressen","steht","cookies","staaten","infrastruktur","deutschen","abs","heute","derzeit","kleine","woche","insgesamt","¼bermittelt"
"36","verwenden","öffentlichen","ndern","gebraucht","geht","steht","verarbeiten","irland","europäischen","vier","online","donnerstag","youtube"
"37","cookies","kleine","xfgelder","dã¼rfen","mail","thema","gerade","demokratie","vereine","datenschutzbehã","schã","ende","unseren"
"38","personenbezogenen","erklärt","schen","nutzer","einfach","denen","erforderlich","staaten","hätten","kã¼nftig","gerade","software","erhebung"
"39","einfach","gebe","tten","euro","prozesse","besser","bedeutet","barley","befragten","euro","zwei","usa","instagram"
"40","webseite","wochen","internet","jahresumsatzes","system","jahre","gegenüber","konnte","datenschutzregeln","milliarden","rund","wwdc","chen"
"41","newsletter","industrie","aufsichtsbehã","bislang","grundverordnung","privacy","künftig","schutz","deutsche","hohe","viertel","smartphone","scht"
"42","speichern","eigentlich","bestã","dauer","deutschland","wohl","arbeitgeber","einfach","jahren","gegeben","eigene","anfang","gelã"
"43","erhalten","verunsicherung","berlin","welt","setzen","kaum","kraft","tech","verarbeitet","hamburg","zehn","apples","zweck"
"44","informieren","informiert","stellen","erhoben","neben","stehen","löschen","kommission","übergangsfrist","bã¼rger","fertig","grã","unsere"
"45","grundverordnung","jahr","unsere","heilmann","hersteller","eigentlich","innerhalb","abgeordneten","verarbeitung","online","behã","aktionã","verwendet"
"46","geben","namen","wã¼rden","freitag","derzeit","sieht","bundesdatenschutzgesetz","beispiel","jahresumsatzes","kritik","deshalb","mehrere","nutzen"
"47","einstellungen","recht","rde","zugriff","digitale","besonders","daher","netzwerk","kleine","googles","wirkung","funktionen","glichkeit"
"48","weiterhin","umsetzung","dienste","kommission","manager","zukunft","betroffene","antworten","angepasst","ischen","meilenstein","ersten","tracking"
"49","oft","müsse","tã","name","geräte","deutlich","lassen","müller","beispiel","deutlich","gdv","amazon","gmbh"
"50","personen","arbeit","tzlich","personenbezogenen","bietet","media","tun","mal","aufsichtsbehörden","informationen","bereits","tech","datenverarbeitung"
