,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
1,facebook,says,facebook,component,protection,business
2,says,government,users,quote,information,year
3,cambridge,may,privacy,emb,compani,mail
4,analytica,brexit,information,margin,new,new
5,people,labour,new,chariti,personal,market
6,zuckerberg,windrush,company,passwords,business,last
7,schroepfer,home,people,left,may,technology
8,information,trade,also,children,breach,industry
9,political,customs,social,laws,rul,financial
10,company,mps,use,system,regulation,growth
11,wylie,people,personal,password,people,servic
12,zuck,minister,compani,new,law,per
13,want,policy,may,students,general,also
14,advertis,office,law,year,fin,tech
15,time,vote,app,parents,consent,royal
16,ask,conservative,service,business,also,world
17,collins,house,protection,right,security,customers
18,not,women,user,content,process,firms
19,asks,also,european,classdojo,must,executive
20,kogan,agreement,shar,cybersecurity,government,cent
21,use,back,whatsapp,britain,company,sector
22,work,secretary,collect,protection,organisations,time
23,campaign,ireland,zuckerberg,last,right,google
24,question,immigration,analytica,student,digital,amazon
25,questions,screen,network,media,protect,see
26,many,border,see,university,force,compani
27,media,vot,regulation,class,commissioner,chief
28,target,commons,cambridge,width,access,bank
29,ads,told,chang,says,customers,consumers
30,made,committee,ask,market,european,around
31,hear,work,com,mean,million,group
32,think,theresa,delete,future,com,years
33,platform,bill,europe,min,small,retail
34,say,press,allow,screen,media,next
35,social,public,terms,security,privacy,months
36,whether,today,settings,linkedin,bill,sal
37,public,lords,world,work,use,company
38,last,deal,messag,public,cyber,apple
39,election,see,online,schools,regulations,even
40,digital,issue,rul,trust,many,regulatory
41,mark,union,consent,use,public,start
42,someth,new,age,fundrais,ico,regulation
43,look,prime,firm,change,individuals,digital
44,news,northern,includ,even,office,however
45,committee,britain,protect,may,laws,brexit
46,back,partnership,want,regulation,opt,consumer
47,answer,ministers,download,accounts,turnover,first
48,way,point,laws,tim,includ,customer
49,content,amendment,change,service,give,expect
50,fake,health,google,regulations,ask,think
