"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7"
"1","bank","facebook","compani","cloud","personal","use","security"
"2","information","privacy","privacy","management","information","even","percent"
"3","banks","users","law","business","compliance","time","organizations"
"4","blockchain","information","european","governance","process","company","breach"
"5","business","zuckerberg","new","information","protection","want","business"
"6","financial","company","protection","systems","compani","may","risk"
"7","credit","new","europe","enterprise","business","way","cyber"
"8","consumers","people","regulation","new","privacy","mobile","report"
"9","payments","compani","technology","servic","organizations","access","survey"
"10","shar","cambridge","may","security","regulation","customers","cybersecurity"
"11","consumer","google","firm","technology","must","app","protect"
"12","card","tech","general","help","may","customer","iot"
"13","compani","personal","rul","many","requirements","work","regulations"
"14","also","analytica","company","solutions","organization","point","compani"
"15","company","consent","global","users","requir","say","risks"
"16","customer","european","million","corporate","also","people","threats"
"17","industry","also","issu","across","comply","long","protection"
"18","technology","internet","union","focus","breach","much","management"
"19","payment","social","think","tools","right","think","global"
"20","identity","advertis","state","process","company","user","company"
"21","open","collect","years","analytics","many","example","information"
"22","servic","rul","legal","market","security","without","respondents"
"23","use","may","market","work","new","new","employe"
"24","digital","consumers","impact","also","within","means","accord"
"25","bas","apple","laws","software","stor","news","new"
"26","may","user","commission","technologi","european","email","threat"
"27","government","world","industry","infrastructure","collect","every","devic"
"28","research","week","regulators","organizations","meet","look","year"
"29","customers","chang","recent","manag","ensure","search","consumers"
"30","money","online","stat","legal","general","provide","regulation"
"31","around","regulation","work","potential","even","first","study"
"32","members","many","look","organization","management","part","secure"
"33","able","ask","member","look","address","someth","also"
"34","personal","europe","office","storage","includ","product","top"
"35","big","use","expect","access","regulations","see","organization"
"36","head","regulations","many","service","individual","case","compliance"
"37","records","union","report","providers","take","another","half"
"38","protect","give","chang","customer","effect","ask","increas"
"39","share","service","not","intelligence","citizens","mak","cost"
"40","institutions","network","says","value","bas","lot","financial"
"41","allow","protection","act","well","understand","always","insider"
"42","equifax","ads","countri","today","fin","also","network"
"43","fraud","target","group","application","protect","right","general"
"44","transaction","general","april","become","however","back","news"
"45","email","mark","year","understand","place","start","increase"
"46","account","stat","add","big","compliant","good","understand"
"47","public","see","country","critical","time","experience","may"
"48","ceo","media","fin","provid","consent","end","sensitive"
"49","seems","unit","government","challeng","risk","things","yet"
"50","trust","call","reach","see","rul","important","attacks"
